time;nagents;births;deaths_age;deaths_starvation;combat_kills;calculate_total_credit_outstanding;calculate_credit_default_rate;calculate_decision_entropy;calculate_gini_coefficient;calculate_pareto_alpha;calculate_mean_lifespan;calculate_lifespan_inequality;calculate_cultural_entropy;calculate_spatial_segregation;calculate_clustering_coefficient;count_red_tribe;count_blue_tribe;calculate_factional_clustering_blue_initiated_attacks;calculate_factional_clustering_red_attack_rate;calculate_factional_clustering_red_initiated_attacks;calculate_factional_clustering_total_attacks;calculate_cultural_initiation_by_tribe_blue_initiated_transmissions;calculate_cultural_initiation_by_tribe_red_initiated_transmissions;calculate_cultural_initiation_by_tribe_total_transmissions;calculate_cultural_diversity_diversity_ratio
89;162;180;5;23;40;236.78638610839843;0.46296296296296297;0.0;0.39776174116226093;1.9457990731726482;19.030864197530864;0.49088189714203345;3.39594429656388;0.0;0.0;0;162;0.0;0.0;0.0;0.0;51.0;0.0;51.0;0.0234375
90;173;191;5;23;40;254.6863861083984;0.3770491803278688;0.0;0.3875989721611044;2.0076355136498005;18.75722543352601;0.50030549444677;3.4082851546101276;0.0;0.0;0;173;0.0;0.0;0.0;0.0;37.0;0.0;37.0;0.02490234375
91;182;200;5;23;40;253.36138610839845;0.3770491803278688;0.0;0.3890693495266253;1.8063899215251797;18.78021978021978;0.5009452221271999;3.3311660743753997;0.0;0.0;0;182;0.0;0.0;0.0;0.0;49.0;0.0;49.0;0.0244140625
92;188;206;5;23;40;267.5813861083984;0.4426229508196721;0.0;0.3908461507966252;1.8156999784058585;19.148936170212767;0.49235520094562646;3.31003808875393;0.0;0.0;0;188;0.0;0.0;0.0;0.0;45.0;0.0;45.0;0.02587890625
93;192;211;5;23;41;334.78116333007813;0.4605263157894737;0.0;0.396331873372485;1.8556931085719635;19.442708333333332;0.48142830833110106;3.225314543679394;0.0;0.0;0;192;1.0;0.0;0.0;1.0;42.0;0.0;42.0;0.0234375
94;199;218;5;23;41;360.5149133300781;0.5061728395061729;0.0;0.3876652632447499;1.8462679178237515;19.723618090452263;0.47694779630637263;3.230800978407209;0.0;0.0;0;199;0.0;0.0;0.0;0.0;46.0;0.0;46.0;0.0234375
95;203;227;9;23;42;451.96116333007814;0.4803921568627451;0.0;0.35366066006992325;2.1247019398186335;18.852216748768473;0.46694410083397586;3.1505083729439187;0.0;0.0;0;203;1.0;0.0;0.0;1.0;49.0;0.0;49.0;0.0205078125
96;213;238;10;23;42;481.8116088867188;0.4067796610169492;0.0;0.34540103032429315;2.2703455302112556;18.5962441314554;0.4697016568823018;3.1518491622532028;0.0;0.0;1;212;0.0;0.0;0.0;0.0;51.0;1.0;52.0;0.021484375
97;217;243;10;23;43;518.1081039428711;0.3953488372093023;0.0;0.34544372953479185;2.3206428203870413;19.202764976958527;0.45793866444601483;3.195859358047082;0.0;0.0;0;217;1.0;0.0;0.0;1.0;44.0;0.0;44.0;0.02197265625
98;221;248;11;23;43;519.7331039428711;0.4108527131782946;0.0;0.3413286581040187;2.4360181207287632;19.39366515837104;0.44196721726847166;3.100553710702712;0.0;0.0;0;221;0.0;0.0;0.0;0.0;50.0;0.0;50.0;0.01904296875
99;231;258;11;23;43;511.8456039428711;0.42424242424242425;0.0;0.35395792827582895;2.1918002644608405;19.51082251082251;0.4453908638510369;3.0554193412931223;0.0;0.0;0;231;0.0;0.0;0.0;0.0;47.0;0.0;47.0;0.01904296875
100;245;272;11;23;43;526.4779241490364;0.4765625;0.0;0.35733829443005827;2.214169602659008;19.33877551020408;0.4566087473402194;3.098803526048776;0.0;0.0;1;244;0.0;0.0;0.0;0.0;51.0;1.0;52.0;0.0205078125
101;254;282;11;23;44;578.0032760711015;0.4583333333333333;0.0;0.361987142067991;2.090095064438802;19.562992125984252;0.45686167625102403;3.060875131021597;0.0;0.0;0;254;1.0;0.0;0.0;1.0;58.0;0.0;58.0;0.02001953125
102;271;301;12;24;44;777.1324694084377;0.4427083333333333;0.0;0.3530609333612389;2.3766477447929213;18.793357933579337;0.4711582281736817;3.059165664768172;0.0;0.0;0;271;0.0;0.0;0.0;0.0;66.0;0.0;66.0;0.0205078125
103;273;305;12;26;44;982.229392907545;0.4246031746031746;0.0;0.35056815091785176;2.5123692346539475;19.278388278388277;0.4549321095017467;3.0649627756810793;0.0;0.0;0;273;0.0;0.0;0.0;0.0;72.0;0.0;72.0;0.01953125
104;282;315;12;26;45;1030.929392907545;0.4344569288389513;0.0;0.3634326999174793;2.526030482092686;19.46808510638298;0.45276518234313845;3.076869185351841;0.0;0.0;1;281;1.0;0.0;0.0;1.0;79.0;0.0;79.0;0.021484375
105;289;324;12;27;46;1124.1113289337604;0.4482758620689655;0.0;0.3672981445092749;2.4600892918288917;19.685121107266436;0.4492175454239682;2.9853319293699525;0.0;0.0;1;288;1.0;0.0;0.0;1.0;80.0;1.0;81.0;0.01953125
