time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_spread_culture,schwartz_values
1,3,"(30, 6)",13.0,1,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.95f0, stimulation = 0.6f0, hedonism = -1.66f0, achievement = 1.32f0, power = -0.3f0, security = 0.34f0, conformity = -0.03f0, tradition = -1.02f0, benevolence = 0.08f0, universalism = -0.29f0)"
1,4,"(9, 13)",14.0,1,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.66f0, stimulation = -1.67f0, hedonism = 0.39f0, achievement = -0.89f0, power = 0.35f0, security = 1.23f0, conformity = -0.74f0, tradition = -0.95f0, benevolence = -0.1f0, universalism = 0.7f0)"
1,5,"(5, 35)",23.0,1,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.31f0, stimulation = -3.08f0, hedonism = -3.72f0, achievement = -0.52f0, power = -0.25f0, security = 2.02f0, conformity = 1.42f0, tradition = 1.47f0, benevolence = 0.69f0, universalism = 1.66f0)"
1,6,"(24, 28)",10.0,1,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.27f0, stimulation = 0.21f0, hedonism = -0.4f0, achievement = 0.1f0, power = -2.27f0, security = -1.01f0, conformity = -0.97f0, tradition = -0.41f0, benevolence = 2.26f0, universalism = 1.21f0)"
1,7,"(9, 40)",10.0,1,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.65f0, stimulation = -0.97f0, hedonism = 0.19f0, achievement = -1.36f0, power = -1.96f0, security = -0.54f0, conformity = -0.47f0, tradition = 0.93f0, benevolence = 0.52f0, universalism = 2.01f0)"
1,8,"(33, 21)",14.0,1,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.35f0, stimulation = -0.08f0, hedonism = -1.57f0, achievement = 0.95f0, power = 0.52f0, security = -0.17f0, conformity = -0.84f0, tradition = -0.62f0, benevolence = 0.66f0, universalism = 0.8f0)"
1,9,"(13, 19)",9.0,1,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.94f0, stimulation = -0.1f0, hedonism = 0.62f0, achievement = 0.38f0, power = -1.81f0, security = 0.85f0, conformity = 0.45f0, tradition = 0.55f0, benevolence = 0.05f0, universalism = -0.04f0)"
1,10,"(39, 45)",13.0,1,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.35f0, stimulation = 0.87f0, hedonism = 0.78f0, achievement = 1.26f0, power = 0.56f0, security = -0.67f0, conformity = -1.71f0, tradition = -0.97f0, benevolence = -0.17f0, universalism = 0.39f0)"
1,11,"(35, 3)",9.0,1,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 1.59f0, stimulation = 1.25f0, hedonism = 0.98f0, achievement = 0.63f0, power = -1.28f0, security = -0.1f0, conformity = -2.27f0, tradition = -0.77f0, benevolence = 0.34f0, universalism = -0.38f0)"
1,12,"(21, 9)",7.0,1,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.56f0, stimulation = 1.67f0, hedonism = 0.53f0, achievement = -1.05f0, power = -1.45f0, security = -1.69f0, conformity = -0.7f0, tradition = 1.04f0, benevolence = 0.28f0, universalism = 0.82f0)"
1,13,"(17, 29)",12.0,1,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.75f0, stimulation = -1.31f0, hedonism = -0.02f0, achievement = -0.62f0, power = -1.33f0, security = 0.29f0, conformity = 0.08f0, tradition = 0.3f0, benevolence = 0.81f0, universalism = 1.04f0)"
1,14,"(13, 40)",12.0,1,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.47f0, stimulation = 0.01f0, hedonism = 0.05f0, achievement = -0.88f0, power = -0.94f0, security = 0.42f0, conformity = -0.07f0, tradition = 0.24f0, benevolence = 0.91f0, universalism = 0.73f0)"
1,15,"(28, 19)",5.0,1,4,2,female,"Bool[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = 0.03f0, stimulation = -0.68f0, hedonism = -0.84f0, achievement = 0.32f0, power = -1.6f0, security = 1.11f0, conformity = 0.03f0, tradition = 0.81f0, benevolence = 0.28f0, universalism = 0.54f0)"
1,16,"(38, 38)",8.0,1,6,3,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],false,"(self_direction = -0.01f0, stimulation = -0.44f0, hedonism = -1.28f0, achievement = 0.43f0, power = -2.05f0, security = 1.08f0, conformity = -0.04f0, tradition = -0.12f0, benevolence = 1.42f0, universalism = 1.0f0)"
