time,#101,#102,#103,#104,#105,#106,#107,#108,#109,#110,#111,nagents
46,3.652025057551274,"Dict{String, Real}(""unique_cultures"" => 42, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0205078125)",0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 15.25, :p75 => 79.75, :p50 => 50.0, :p90 => 104.0, :p99 => 140.64999999999998, :p95 => 117.84999999999998)",4.988280726018589,0,53,50
47,3.541121508661683,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)","Dict(:p25 => 15.25, :p75 => 81.0, :p50 => 51.0, :p90 => 106.00000000000003, :p99 => 143.64999999999998, :p95 => 120.39999999999998)",5.078158582265388,0,55,50
48,3.4961346970921783,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,27,23,"Dict(""blue_proportion"" => 0.46, ""red_proportion"" => 0.54)","Dict(:p25 => 15.25, :p75 => 82.75, :p50 => 52.0, :p90 => 108.0, :p99 => 145.64999999999998, :p95 => 122.94999999999997)",5.152460847558917,0,55,50
49,3.513395621439284,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,25,25,"Dict(""blue_proportion"" => 0.5, ""red_proportion"" => 0.5)","Dict(:p25 => 18.25, :p75 => 84.5, :p50 => 53.0, :p90 => 110.00000000000003, :p99 => 148.15999999999997, :p95 => 124.94999999999997)",5.2291424558029185,0,56,50
50,3.485669734216887,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,26,24,"Dict(""blue_proportion"" => 0.48, ""red_proportion"" => 0.52)","Dict(:p25 => 22.0, :p75 => 86.5, :p50 => 54.0, :p90 => 112.0, :p99 => 151.15999999999997, :p95 => 127.49999999999997)",5.043523599766821,0,57,50
51,3.5306565457863925,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 19.75, :p75 => 88.5, :p50 => 55.0, :p90 => 114.00000000000003, :p99 => 152.68999999999994, :p95 => 130.04999999999995)",4.902550895775677,0,57,50
52,3.5029306585639937,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,24,26,"Dict(""blue_proportion"" => 0.52, ""red_proportion"" => 0.48)","Dict(:p25 => 20.5, :p75 => 90.5, :p50 => 56.0, :p90 => 116.0, :p99 => 155.17999999999995, :p95 => 132.59999999999997)",4.977397835368973,0,57,50
53,3.541121508661682,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,22,28,"Dict(""blue_proportion"" => 0.56, ""red_proportion"" => 0.44)","Dict(:p25 => 21.25, :p75 => 92.75, :p50 => 57.0, :p90 => 118.00000000000003, :p99 => 157.66999999999996, :p95 => 135.14999999999998)",4.813153889142943,0,57,50
54,3.5306565457863917,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,20,30,"Dict(""blue_proportion"" => 0.6, ""red_proportion"" => 0.4)","Dict(:p25 => 22.25, :p75 => 95.5, :p50 => 58.0, :p90 => 120.0, :p99 => 159.66999999999996, :p95 => 137.14999999999998)",4.938593542436113,0,57,50
55,3.4647398084663052,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,20,30,"Dict(""blue_proportion"" => 0.6, ""red_proportion"" => 0.4)","Dict(:p25 => 22.5, :p75 => 96.75, :p50 => 59.0, :p90 => 122.00000000000003, :p99 => 162.66999999999996, :p95 => 139.69999999999996)",4.972593631786208,0,58,50
